BlockType,Condition,Trials,ItiStimulus,WaitBackground,BackgroundFlickerHz,Target,Contrast,Mirror,Laser,LaserFreqHz,LaserPhaseDeg,LaserMaxPowerPerChan_mW,LaserEnvelope
1,1,1,none,default,0,gaussian,0.0078125,off,test,10,270,1,none
1,2,1,none,default,0,gaussian,0.015625,off,test,10,270,1,none
1,3,1,none,default,0,gaussian,0.0234375,off,test,10,270,1,none
1,4,1,none,default,0,gaussian,0.03125,off,test,10,270,1,none
1,5,1,none,default,0,gaussian,0.0390625,off,test,10,270,1,none
2,6,1,mondrian,red,0,gaussian,0.0078125,off,control,10,270,1,none
2,7,1,mondrian,red,0,gaussian,0.015625,off,control,10,270,1,none
2,8,1,mondrian,red,0,gaussian,0.0234375,off,control,10,270,1,none
2,9,1,mondrian,red,0,gaussian,0.03125,off,control,10,270,1,none
2,10,1,mondrian,red,0,gaussian,0.0390625,off,control,10,270,1,none
